# AUTOGEN TABLE - DO NOT EDIT
# 20230928T1537
# Samples in batch: 16
sample	read_type	source	statistic	value	rel_path	batch_number
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	6.7	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	cov_xfold_grt_15kbp_at_3Gbp	0.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	length_N50_grt_0bp	10352.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	total_length_grt_0bp	20057436023.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	total_length_grt_15kbp	7918235.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	total_num_grt_0bp	1939274.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	total_num_grt_15kbp	467.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	7.4	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	cov_xfold_grt_15kbp_at_3Gbp	0.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	length_N50_grt_0bp	10378.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	2
HG00731	hifi	HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	total_length_grt_0bp	22243710769.0	20190925_PUR_PacBio_HiFi/HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	2
