study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	instrument_platform	instrument_model	library_name	library_strategy	read_count	base_count	center_name	experiment_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJNA339722	SAMN05603745	SRS2205766	SRX8330492	SRR11777624	9606	ILLUMINA	Illumina HiSeq 4000	BN005-3	Hi-C	166614753	33322950600	SUB7434655	Illumina HiSeq 4000 sequencing: HiC library for sample HG02818 (Gambian)	PRJNA339722	BN005-3	BN005-3_S4_L006_R1_001.fastq.gz	9503765406;10923619171	f30a4afe54684e781bca21180656c3a0;4e948582b6d764bb08fc0e681792f12d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/024/SRR11777624/SRR11777624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/024/SRR11777624/SRR11777624_2.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX8330491	SRR11777625	9606	ILLUMINA	Illumina HiSeq 4000	BN005	Hi-C	160741109	32148221800	SUB7434655	Illumina HiSeq 4000 sequencing: HiC library for sample HG02818 (Gambian)	PRJNA339722	BN005	BN005_S1_L005_R1_001.fastq.gz	9027252902;10305492031	87917a77ed25a7b4d3d566a54eb5f520;33e2312a1201a08e8d91d6f69aeddbf7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/025/SRR11777625/SRR11777625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/025/SRR11777625/SRR11777625_2.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX8557896	SRR12026559	9606	PACBIO_SMRT	Sequel II	6U00YG	WGS	44357009	653774460802	SUB7608560	Sequel II sequencing: PacBio Sequel II Sequencing of HG02818	PRJNA339722	6U00YG	m64043_200316_214923.subreads.bam	195113834426	bb0749c3ba074a077f65b5bf834df8b5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/059/SRR12026559/SRR12026559_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX2830485	SRR5571320	9606	ILLUMINA	Illumina HiSeq 2500	H_IJ-HG02818-HG02818_1-lib21	WGS	92727825	28003803150		Illumina HiSeq 2500 sequencing: PCR-free illumina library for HG02818	PRJNA339722	PCR-free illumina library for HG02818	PCR-free illumina library for HG02818 bam 5	8236938147;9210020183	f534e206306c6ab110d7b6470079219c;7cc0905a75ecef4d37340e0e68351cd2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/000/SRR5571320/SRR5571320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/000/SRR5571320/SRR5571320_2.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX2830485	SRR5571321	9606	ILLUMINA	Illumina HiSeq 2500	H_IJ-HG02818-HG02818_1-lib21	WGS	79938082	24141300764		Illumina HiSeq 2500 sequencing: PCR-free illumina library for HG02818	PRJNA339722	PCR-free illumina library for HG02818	PCR-free illumina library for HG02818 bam 6	7354245325;8222706732	5c1c680a6a969fe4afa52aac8445b66f;5483261aa663f452961ee01cc63d21b7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/001/SRR5571321/SRR5571321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR557/001/SRR5571321/SRR5571321_2.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115510	SRR5957159	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib1	WGS	163482	4655317102	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib1	6U00E2_78_C01_1	3980112653	ecd0e52e99eab7448bee6196dc23f255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5957159/SRR5957159_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115510	SRR5957165	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib1	WGS	163482	456338781	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib1	6U00E4_79_A02_1	379019518	7e41860389526fac801f7d5ad3303b22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5957165/SRR5957165_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115510	SRR5957167	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib1	WGS	163482	684604775	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib1	6U00E4_79_C02_1	576565142	c5025840e92c95d69a6c84b8d23fe19e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5957167/SRR5957167_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115510	SRR5957169	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib1	WGS	163482	538172426	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib1	6U00E4_79_E02_1	449083630	3615588cf358e358f0657119e16d1d9e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5957169/SRR5957169_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957174	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	984225992	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E3_1020_A02_1	840443881	1b0942eb6dc4ea7ac8fc6e84a9ee3c97	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5957174/SRR5957174_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957176	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	1955723522	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E3_1020_B02_1	1699454779	afa875819657e9d8faab3133bd1e7ac5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5957176/SRR5957176_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957181	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2232272519	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E3_1020_E01_1	1918064674	3a921384eeede60a29477a6776a190aa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5957181/SRR5957181_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957187	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	1554184930	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E4_79_A01_1	1322211541	61c1d0ce9c7914fade93f50a47d267b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5957187/SRR5957187_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957188	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2378672698	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E4_79_B01_1	2037912728	89f4ce46ed5a24e4c49ce325c28dc7d0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5957188/SRR5957188_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957199	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2174576451	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E5_1021_C01_1	1908319423	3b91b7aed226f8ac8744d2646c5e455c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5957199/SRR5957199_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957200	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2346947522	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E5_1021_C02_1	2035819782	545203b40337c6e30f4641e8055b2e8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5957200/SRR5957200_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957201	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2511029518	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E5_1021_D01_1	2200989937	5edec8528f6034e9ecdd78b7f0f63ea8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5957201/SRR5957201_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957202	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2268172909	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E5_1021_D02_1	1963350898	31f5acdedfb84e6385c1ede078acf66a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5957202/SRR5957202_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115511	SRR5957206	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib2	WGS	163482	2331026410	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib2	6U00E5_1021_F02_1	2018352718	bb293221c554e6cbd818abce07475488	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5957206/SRR5957206_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957211	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2326950264	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00E7_1022_A02_1	2020253711	f14def65038949699bce9e4195579b59	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5957211/SRR5957211_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957212	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2567631691	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00E7_1022_B02_1	2235096721	2814e9ac34beddf8bfa75fd5bc73b3b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/002/SRR5957212/SRR5957212_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957220	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2773401309	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00ED_1024_B02_1	2411111123	73c50e702464600172e1816eb1d98439	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5957220/SRR5957220_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957224	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2113347099	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00ED_1024_F02_1	1832566368	47ae831e69abfa31fbb22e27ca0bc655	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5957224/SRR5957224_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957225	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2452930166	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00ED_1024_G02_1	2131825765	32ade151964c4618d456ac7ca1f415ac	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5957225/SRR5957225_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957226	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2671357326	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00ED_1024_H02_1	2326456439	db1f5a7704ad58ae7250b39f2f40739b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5957226/SRR5957226_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
PRJNA339722	SAMN05603745	SRS2205766	SRX3115512	SRR5957230	9606	PACBIO_SMRT	PacBio RS II	H_IJ-HG02818-HG02818_1-lib3	WGS	163482	2359043413	WUGSC	PacBio RS II sequencing	PRJNA339722	H_IJ-HG02818-HG02818_1-lib3	6U00EE_83_D02_1	2048356479	c51720ab13099d76eeddc17d30a9be34	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5957230/SRR5957230_subreads.fastq.gz		Human sample HG02818 from Homo sapiens	Human sample HG02818 from Homo sapiens
