HG00171	2
HG00268	2
HG00358	1
HG00438	2
HG00621	1
HG00673	1
HG00731	1
HG00733	2
HG00735	2
HG00741	2
HG01071	2
HG01106	1
HG01109	1
HG01114	2
HG01123	2
HG01175	2
HG01243	1
HG01258	1
HG01352	2
HG01358	1
HG01361	2
HG01457	1
HG01505	1
HG01573	2
HG01596	1
HG01890	1
HG01891	2
HG01928	1
HG01952	1
HG01978	2
HG02011	1
HG02018	2
HG02055	1
HG02059	2
HG02080	2
HG02106	2
HG02145	1
HG02148	2
HG02257	2
HG02282	2
HG02486	1
HG02492	1
HG02554	1
HG02559	2
HG02572	1
HG02587	2
HG02622	2
HG02630	2
HG02666	1
HG02717	1
HG02723	2
HG02769	2
HG02818	2
HG02886	2
HG02953	1
HG03009	1
HG03065	1
HG03098	1
HG03248	1
HG03371	1
HG03452	2
HG03453	2
HG03456	1
HG03486	2
HG03492	1
HG03516	2
HG03520	2
HG03540	2
HG03579	1
HG03683	2
HG03807	2
HG04036	2
HG04217	2
NA18534	1
NA18906	2
NA18989	1
NA19036	2
NA19129	2
NA19317	1
NA19331	1
NA19347	1
NA19384	1
NA19434	2
NA19650	1
NA19705	1
NA19836	2
NA19983	2
NA20129	2
NA20355	2
NA20509	1
NA20847	2
NA21309	2
NA21487	2
NA24385	1
HG02109	2
NA19238	2
NA19239	1
NA19240	2
HG00732	2
HG00864	2
HG00512	1
HG00513	2
HG00514	2
NA18939	2
NA12329	2
HG00096	1
HG03732	1
