HG00096	NYGC-GRCh38_all_HG00096_hap1_consensus	NYGC-GRCh38_all_HG00096_hap2_consensus	43.7066	42.1805
HG00438	NYGC-GRCh38_all_HG00438_hap1_consensus	NYGC-GRCh38_all_HG00438_hap2_consensus	43.4003	43.3925
HG00452	NYGC-GRCh38_all_HG00452_hap1_consensus	NYGC-GRCh38_all_HG00452_hap2_consensus	43.2566	43.2555
HG00536	NYGC-GRCh38_all_HG00536_hap1_consensus	NYGC-GRCh38_all_HG00536_hap2_consensus	43.2013	41.7675
HG00615	NYGC-GRCh38_all_HG00615_hap1_consensus	NYGC-GRCh38_all_HG00615_hap2_consensus	43.2381	43.2362
HG01053	NYGC-GRCh38_all_HG01053_hap1_consensus	NYGC-GRCh38_all_HG01053_hap2_consensus	43.8798	43.8835
HG01055	NYGC-GRCh38_all_HG01055_hap1_consensus	NYGC-GRCh38_all_HG01055_hap2_consensus	43.3186	43.3188
HG01114	NYGC-GRCh38_all_HG01114_hap1_consensus	NYGC-GRCh38_all_HG01114_hap2_consensus	43.6777	43.6747
HG01255	NYGC-GRCh38_all_HG01255_hap1_consensus	NYGC-GRCh38_all_HG01255_hap2_consensus	43.9221	42.1885
HG01358	NYGC-GRCh38_all_HG01358_hap1_consensus	NYGC-GRCh38_all_HG01358_hap2_consensus	43.4679	42.0633
HG01463	NYGC-GRCh38_all_HG01463_hap1_consensus	NYGC-GRCh38_all_HG01463_hap2_consensus	43.8951	43.8982
HG01526	NYGC-GRCh38_all_HG01526_hap1_consensus	NYGC-GRCh38_all_HG01526_hap2_consensus	43.5564	42.1164
HG01596	NYGC-GRCh38_all_HG01596_hap1_consensus	NYGC-GRCh38_all_HG01596_hap2_consensus	43.3762	41.8987
HG02085	NYGC-GRCh38_all_HG02085_hap1_consensus	NYGC-GRCh38_all_HG02085_hap2_consensus	43.29	41.7905
HG02179	NYGC-GRCh38_all_HG02179_hap1_consensus	NYGC-GRCh38_all_HG02179_hap2_consensus	43.5486	43.5559
HG02221	NYGC-GRCh38_all_HG02221_hap1_consensus	NYGC-GRCh38_all_HG02221_hap2_consensus	43.6155	42.1325
HG02321	NYGC-GRCh38_all_HG02321_hap1_consensus	NYGC-GRCh38_all_HG02321_hap2_consensus	42.7155	42.7224
HG02496	NYGC-GRCh38_all_HG02496_hap1_consensus	NYGC-GRCh38_all_HG02496_hap2_consensus	43.1231	41.3557
HG02700	NYGC-GRCh38_all_HG02700_hap1_consensus	NYGC-GRCh38_all_HG02700_hap2_consensus	43.5755	43.5706
HG02890	NYGC-GRCh38_all_HG02890_hap1_consensus	NYGC-GRCh38_all_HG02890_hap2_consensus	43.243	41.457
HG03072	NYGC-GRCh38_all_HG03072_hap1_consensus	NYGC-GRCh38_all_HG03072_hap2_consensus	43.8858	41.9654
HG03110	NYGC-GRCh38_all_HG03110_hap1_consensus	NYGC-GRCh38_all_HG03110_hap2_consensus	43.4165	43.4148
HG03617	NYGC-GRCh38_all_HG03617_hap1_consensus	NYGC-GRCh38_all_HG03617_hap2_consensus	43.6604	43.6671
HG03848	NYGC-GRCh38_all_HG03848_hap1_consensus	NYGC-GRCh38_all_HG03848_hap2_consensus	43.4784	41.9834
HG04157	NYGC-GRCh38_all_HG04157_hap1_consensus	NYGC-GRCh38_all_HG04157_hap2_consensus	43.7631	42.173
NA12045	NYGC-GRCh38_all_NA12045_hap1_consensus	NYGC-GRCh38_all_NA12045_hap2_consensus	43.7486	42.226
NA12802	NYGC-GRCh38_all_NA12802_hap1_consensus	NYGC-GRCh38_all_NA12802_hap2_consensus	43.8754	43.8713
NA12813	NYGC-GRCh38_all_NA12813_hap1_consensus	NYGC-GRCh38_all_NA12813_hap2_consensus	43.5556	43.5596
NA19783	NYGC-GRCh38_all_NA19783_hap1_consensus	NYGC-GRCh38_all_NA19783_hap2_consensus	43.1857	41.8474
NA21092	NYGC-GRCh38_all_NA21092_hap1_consensus	NYGC-GRCh38_all_NA21092_hap2_consensus	43.4807	41.973
reference	chm13v2.0	chm13v2.0	nan	nan
HG002	hg002v1.1.pat	hg002v1.1.mat	nan	nan
